tick,time,population,grazers,predators,births,deaths,energy,totalEnergy,biomass,resource,generation,diversity,species,oldest,temperature,mutationCount,mean_size,mean_speed,mean_vision,mean_turn,mean_efficiency,mean_fertility,mean_lifespan,mean_aggression,mean_camouflage,mean_thermal,species_1,species_2,species_3,species_4,species_5
0,0,180,164,16,0,0,89.93006907117864,16187.412432812154,22896.700056860278,4177.359269965362,0,1.3008834706353265,4,21.837069740518928,22,0,1.064966289531451,1.1673414015481154,0.9998849981291108,1.003974699548528,0.8039388875115401,1.0010159507038896,120.14595145441591,0.7424845650491825,0.29903302625954786,21.94121131118595,55,16,55,54,0
20,3.2,187,171,16,9,2,102.19909032395806,19111.229890580158,26065.183596148527,3732.5744079481037,1,1.2966662044734822,4,25.03706974051893,22.363498213791345,5,1.062483377474157,1.1684306617484281,1.0008641496735224,1.0036358438871604,0.8039913256990726,1.0009656532129696,120.11670089619841,0.7390911598406275,0.29829182745063976,21.93549909306153,57,16,58,56,0
40,6.4,228,209,19,43,2,90.82165705085438,20707.3378075948,29185.268767569436,3251.3312788048174,1,1.292013642380483,4,28.237069740518933,22.72540694238138,67,1.062397363405344,1.1625560697443698,0.999327552489698,1.0021243069320076,0.8035984404909896,1.0004700399930953,120.27099871257764,0.739911682033148,0.2979251684382632,21.955673866213736,76,19,67,66,0
60,9.6,269,249,20,43,2,82.78182207080658,22268.31013704697,32228.11352750073,2783.27545579623,1,1.2804361221646552,4,31.437069740518936,23.08414365098314,109,1.0578654689807498,1.1647060019534927,1.0029305976424296,1.0013492151592247,0.8035239775146088,1.0011229386650973,120.33829108846676,0.7360211474479056,0.29851797266857233,21.96726203808063,89,20,81,79,0
80,12.8,314,292,22,47,2,75.04966566333668,23565.595018287717,35165.11715609183,2347.338112300256,2,1.2744517955742556,4,34.63706974051888,23.43813967524601,162,1.055461523003105,1.1657505563469375,1.0009995432506067,1.0015298572211573,0.803418379871671,1.0010912730776005,120.23339013777033,0.7340261653404286,0.2978677789231351,21.96075784062736,103,22,97,92,0
100,16,334,309,25,24,4,74.86809145416004,25005.942545689453,37385.173789192675,2073.191114037701,2,1.281491727559355,4,37.837069740518814,23.785847080625757,195,1.0589590456375777,1.1665542255708585,1.0022405154039333,1.001446797432325,0.8037939601177936,1.0019364736510112,120.26002270534111,0.7351426622274806,0.297618525318978,21.952623948983536,109,25,102,98,0
120,19.2,360,332,28,29,3,71.86211890540403,25870.362805945453,39241.00803536259,1857.3193766699103,2,1.2856664209082143,4,41.037069740518746,24.125745431108488,242,1.0611623197950104,1.1652458998758608,1.001998829506224,1.0011037487190697,0.8039471111824756,1.0015618239508608,120.24904635077814,0.7361401202700576,0.2978467051100356,21.950437466197705,117,28,109,106,0
140,22.400000000000002,388,359,29,33,5,68.1702668550861,26450.063539773404,40889.86163507021,1650.7811347188972,2,1.2819289755435872,4,44.23706974051868,24.456348437690437,277,1.0633135563546983,1.1641596301865011,1.0012671994571638,0.9994822763554477,0.804544041008495,1.0025746049986404,120.13498910637004,0.7353311584771683,0.2976436221889149,21.949696099200562,124,29,118,117,0
160,25.6,406,374,32,23,5,66.98815124690104,27197.18940624182,42264.656394387486,1515.9609203728817,3,1.2876504604606105,4,47.43706974051861,24.77621045754164,310,1.0603425044437464,1.172348114610153,1.0028144207033505,0.9997245130282563,0.8043129356623097,1.0025001304529109,120.1242142704165,0.7362296929181648,0.2967838458083239,21.94130422492729,125,32,128,121,0
180,28.8,426,392,34,29,9,65.08075311984602,27724.400829054408,43548.76164256292,1375.1383228779448,3,1.2888593700710733,4,50.63706974051854,25.0839328154342,350,1.0613253396048659,1.1752114705117256,1.0035411322862398,1.0002920705190235,0.8046766756528378,1.0026105300095174,120.09815262509123,0.7375646776948638,0.296527783261181,21.948056089386625,128,34,136,128,0
200,32,447,411,36,28,7,62.64290343426563,28001.377835116735,44550.83094677872,1270.3482225787743,3,1.2887106954765937,4,53.83706974051847,25.378169919793173,386,1.057811001065003,1.1822369756694961,1.004221276036657,1.0001548956421995,0.8046158310121494,1.0018324735160744,120.17197117301197,0.7383750226739991,0.2959058403196723,21.964245481982687,130,36,148,133,0
220,35.2,455,418,37,20,12,62.36091062334742,28374.214333623077,45235.11042597047,1209.6552709842651,3,1.2892329245426006,4,57.037069740518405,25.657635146626166,403,1.058768985390732,1.1839006068090054,1.0036685257875433,1.0002572585774043,0.804902506199172,1.001868546669351,120.17142680944816,0.739283365586184,0.29547134998324864,21.960077644199504,130,37,152,136,0
240,38.4,470,431,39,23,8,60.142686661355455,28267.062730837064,45587.693613239724,1204.7136204870362,4,1.2892254114948225,4,60.237069740518336,25.921106465602683,431,1.0529258895077573,1.1904427195554133,1.0040424704781057,1.0001806430451803,0.8045114829087262,1.001908447072604,120.15999570519449,0.7389498314034025,0.2949590786203962,21.965112567825358,131,39,163,137,0
260,41.6,472,432,40,14,12,59.352306736391256,28014.288779576673,45394.58234246739,1268.393265494533,4,1.2908601399126587,4,63.43706974051827,26.16743178368184,449,1.052075881530919,1.1934207740980787,1.0042235972028284,1.0010880903424044,0.8039828513354367,1.0019161748023258,120.14488822131392,0.7402069474720046,0.2948157691783388,21.974398145765672,131,40,165,136,0
280,44.800000000000004,475,430,45,17,14,57.71856852358583,27416.32004870327,44877.639987169634,1358.0188809522672,4,1.3002089642423869,4,66.6370697405182,26.395533982922085,468,1.0503049587047413,1.1996672531072088,1.0051139004486733,1.0018610639057581,0.8031971145817725,1.0019652661685883,120.19020676519261,0.7459659417455928,0.2950381470230781,21.976534327311732,128,45,170,132,0
