sim_seconds,clock,active_trips,completed_trips,throughput_per_min,network_kmh,queue,average_travel_seconds,unique_transit_riders,co2_proxy_kg,mean_transit_wait_seconds
5.1,08:00:05,6,0,0,16.28,2,0.00,0,0.0075,0.00
10.1,08:00:10,12,0,0,27.29,1,0.00,0,0.0394,0.00
15.1,08:00:15,19,0,0,30.55,1,0.00,0,0.1063,0.00
20.1,08:00:20,25,0,0,32.80,1,0.00,0,0.2050,0.00
25.1,08:00:25,31,0,0,37.30,0,0.00,0,0.3368,0.00
30.1,08:00:30,38,0,0,35.93,2,0.00,3,0.4883,11.40
35.1,08:00:35,44,0,0,35.49,1,0.00,3,0.6650,11.40
40.1,08:00:40,49,1,1,32.23,4,33.50,3,0.8712,11.40
45.1,08:00:45,55,2,2,31.20,6,33.50,3,1.1058,11.40
50.1,08:00:50,58,5,5,29.92,12,35.16,3,1.3429,11.40
55.1,08:00:55,63,7,7,28.77,11,37.91,3,1.5822,11.40
60.1,08:01:00,68,8,8,25.87,13,37.66,3,1.8176,11.40
65.1,08:01:05,73,9,9,25.43,14,39.83,7,2.0676,16.00
70.1,08:01:10,78,11,11,23.34,17,40.47,7,2.3389,16.00
75.1,08:01:15,80,15,15,24.82,19,40.20,7,2.6340,16.00
80.1,08:01:20,85,16,16,25.49,19,40.03,7,2.9484,16.00
85.1,08:01:25,91,17,17,26.28,15,39.81,7,3.2835,16.00
90.1,08:01:30,95,19,19,25.97,21,43.72,7,3.6308,16.00
